"","Item_Identifier","Outlet_Identifier","Item_Outlet_Sales"
"189","DRI59","OUT049",4051.9873046875
"190","NCG54","OUT035",2713.44311523438
"191","FDM44","OUT046",1761.33935546875
"192","FDT57","OUT018",3335.86840820312
"193","FDV24","OUT046",2485.60546875
"194","FDI50","OUT019",716.190856933594
"195","FDS09","OUT035",797.853332519531
"196","NCC31","OUT027",4093.85668945312
"197","FDQ07","OUT019",535.487121582031
"198","FDC22","OUT017",3060.38500976562
"199","FDZ56","OUT046",2743.61059570312
"200","FDZ40","OUT019",135.55924987793
"201","FDS46","OUT027",2955.97973632812
"202","DRD24","OUT045",2064.25219726562
"203","FDV45","OUT017",3138.05883789062
"204","FDL26","OUT045",2470.38452148438
"205","FDA56","OUT018",1796.49865722656
"206","FDN27","OUT046",1831.8974609375
"207","FDM20","OUT049",4051.9873046875
"208","FDO16","OUT017",1404.44445800781
"209","FDL03","OUT035",3138.05883789062
"210","FDE58","OUT046",1900.52990722656
"211","FDI02","OUT027",2955.97973632812
"212","NCC55","OUT019",75.1524505615234
"213","FDR03","OUT018",3150.66162109375
"214","FDB14","OUT017",1585.05004882812
"215","FDR45","OUT013",3835.55200195312
"216","NCN07","OUT017",2087.9130859375
"217","FDM51","OUT019",369.093963623047
"218","FDT52","OUT027",5724.81005859375
"219","FDL26","OUT046",2470.38452148438
"220","NCZ42","OUT046",4002.34521484375
"221","DRI47","OUT019",453.773101806641
"222","FDW40","OUT013",2134.07202148438
"223","FDN34","OUT046",2743.61059570312
"224","FDS01","OUT035",2828.70874023438
"225","NCG55","OUT045",1900.52990722656
"226","FDC11","OUT035",1509.2822265625
"227","FDX35","OUT018",3346.81591796875
"228","NCB06","OUT046",2470.38452148438
"229","FDR09","OUT019",748.666870117188
"230","FDC53","OUT017",1575.69262695312
"231","FDY45","OUT013",3833.5751953125
"232","FDA22","OUT010",355.389953613281
"233","FDE02","OUT035",1600.27099609375
"234","FDW21","OUT045",1761.33935546875
"235","FDV34","OUT046",1162.10827636719
"236","FDS59","OUT049",1801.53857421875
"237","NCW17","OUT017",2087.9130859375
"238","NCK54","OUT046",1930.10192871094
"239","FDG17","OUT019",678.766479492188
"240","FDG35","OUT017",2744.85522460938
"241","FDD08","OUT010",13.5063381195068
"242","NCO07","OUT017",3512.599609375
"243","FDJ10","OUT010",304.942230224609
"244","FDW36","OUT017",1744.82421875
"245","FDW21","OUT010",312.267364501953
"246","FDY19","OUT017",1924.19091796875
"247","DRE03","OUT013",712.773132324219
"248","NCC55","OUT049",703.278564453125
"249","FDH52","OUT010",249.20524597168
"250","FDO09","OUT017",4436.1455078125
"251","FDU43","OUT045",3788.7265625
"252","FDX09","OUT010",328.601928710938
"253","FDH40","OUT019",332.706787109375
"254","FDW58","OUT017",1769.77941894531
"255","FDC47","OUT017",3641.29736328125
"256","NCR41","OUT035",1594.80847167969
"257","DRG49","OUT035",4000.18090820312
"258","FDC52","OUT027",4093.85668945312
"259","FDY13","OUT046",1162.10827636719
"260","FDY35","OUT013",685.491821289062
"261","FDI35","OUT017",3535.45825195312
"262","NCU18","OUT049",2272.7861328125
"263","FDY33","OUT018",2255.60327148438
"264","FDC15","OUT027",4050.63256835938
"265","FDU01","OUT049",3164.03979492188
"266","NCU42","OUT046",2758.83154296875
"267","NCV29","OUT018",2522.0732421875
"268","NCY30","OUT017",3238.83325195312
"269","FDQ46","OUT049",1889.92565917969
"270","FDG58","OUT027",4050.63256835938
"271","FDK33","OUT017",3497.37866210938
"272","NCD07","OUT045",1889.92565917969
"273","NCX29","OUT027",3425.34545898438
"274","NCT42","OUT013",2218.34228515625
"275","DRN59","OUT035",797.853332519531
"276","FDI44","OUT035",1187.06726074219
"277","FDA45","OUT049",2652.14526367188
"278","FDP31","OUT045",1020.52746582031
"279","FDY01","OUT046",1889.92565917969
"280","FDT09","OUT018",1781.27758789062
"281","DRH03","OUT027",2674.41186523438
"282","FDA36","OUT018",2846.64428710938
"283","NCF31","OUT017",2563.96484375
"284","FDG14","OUT049",2540.3037109375
"285","FDG28","OUT027",5852.939453125
"286","FDU14","OUT049",3864.19384765625
"287","FDY47","OUT019",398.675354003906
"288","FDI56","OUT049",1371.02514648438
"289","DRD01","OUT013",854.508911132812
"290","FDM22","OUT046",917.091857910156
"291","FDH33","OUT013",675.733459472656
"292","DRZ24","OUT013",1780.08447265625
"293","NCQ38","OUT046",1746.11840820312
"294","FDO16","OUT027",2229.64038085938
"295","FDU07","OUT027",3454.21850585938
"296","NCB07","OUT013",2949.8583984375
"297","FDU48","OUT045",2024.07592773438
"298","NCM43","OUT045",2743.61059570312
"299","FDR31","OUT010",304.942230224609
"300","DRK49","OUT018",597.224487304688
"301","NCI30","OUT010",561.914794921875
"302","DRD60","OUT017",3020.92358398438
"303","NCG19","OUT046",3657.97827148438
"304","FDH12","OUT035",1744.82421875
"305","FDM32","OUT035",1389.22351074219
"306","FDM27","OUT035",2509.2666015625
"307","NCU53","OUT027",4876.64697265625
"308","NCQ18","OUT046",1586.68249511719
"309","FDS10","OUT013",2679.98559570312
"310","FDB33","OUT027",4093.85668945312
"311","FDI12","OUT013",1299.84753417969
"312","NCW42","OUT013",3506.13623046875
"313","NCC06","OUT018",1717.36987304688
"314","FDW02","OUT017",2088.783203125
"315","NCD43","OUT017",1785.00036621094
"316","FDM57","OUT018",1058.4658203125
"317","FDA58","OUT017",3741.30297851562
"318","FDK56","OUT046",3036.72412109375
"319","FDP52","OUT045",3814.5517578125
"320","FDW20","OUT018",1813.76306152344
"321","FDS52","OUT049",1642.07958984375
"322","NCT29","OUT018",1621.16650390625
"323","NCL54","OUT013",2626.15747070312
"324","FDC05","OUT045",2933.96630859375
"325","FDF34","OUT035",3153.27978515625
"326","FDP03","OUT027",3398.51196289062
"327","FDD32","OUT010",291.588806152344
"328","FDZ10","OUT045",2064.25219726562
"329","FDZ40","OUT035",926.40185546875
"330","FDD51","OUT018",596.086853027344
"331","NCY30","OUT019",463.081817626953
"332","FDP58","OUT017",3356.02612304688
"333","FDV49","OUT017",4506.2646484375
"334","FDY24","OUT019",171.267517089844
"335","NCO55","OUT017",1744.82421875
"336","FDR13","OUT017",1953.76281738281
"337","FDS51","OUT017",1022.96282958984
"338","FDP26","OUT045",1721.16320800781
"339","NCB54","OUT027",3398.51196289062
"340","FDF32","OUT017",3112.23364257812
"341","FDN31","OUT018",2698.404296875
"342","DRM48","OUT017",706.411437988281
"343","FDN20","OUT049",2743.61059570312
"344","DRL01","OUT046",3814.5517578125
"345","FDV56","OUT049",1746.11840820312
"346","DRH13","OUT027",2749.08447265625
"347","FDA03","OUT017",2322.2724609375
"348","FDF47","OUT027",5495.8623046875
"349","FDX32","OUT046",2243.91333007812
"350","FDX57","OUT049",1522.45971679688
"351","NCA30","OUT045",3021.5029296875
"352","FDO49","OUT013",712.773132324219
"353","FDL04","OUT019",313.209167480469
"354","DRM48","OUT035",706.411437988281
"355","FDR16","OUT013",3222.52392578125
"356","NCC19","OUT018",2924.8330078125
"357","NCE42","OUT045",3978.80004882812
"358","FDY24","OUT017",975.100280761719
"359","FDH19","OUT049",2789.82690429688
"360","FDJ46","OUT013",2680.85571289062
"361","FDN45","OUT010",675.941650390625
"362","FDY08","OUT035",2062.9580078125
"363","FDZ37","OUT035",1404.44445800781
"364","NCT30","OUT045",774.192321777344
"365","DRY23","OUT018",596.086853027344
"366","NCZ30","OUT018",1649.53051757812
"367","FDC44","OUT018",1659.92346191406
"368","FDB45","OUT035",1822.51147460938
"369","FDY04","OUT013",2619.41821289062
"370","FDM27","OUT046",2554.65478515625
"371","FDZ43","OUT017",3872.05151367188
"372","FDT39","OUT019",473.540832519531
"373","NCC06","OUT019",394.441009521484
"374","FDL15","OUT027",4079.50561523438
"375","FDL57","OUT017",3922.5732421875
"376","FDU08","OUT046",1552.03161621094
"377","FDK40","OUT017",4506.2646484375
"378","FDQ12","OUT010",707.586791992188
"379","FDS48","OUT017",2563.0947265625
"380","FDP09","OUT045",3473.7177734375
"381","FDW21","OUT049",1611.66186523438
"382","FDY25","OUT035",3036.14453125
"383","DRE13","OUT017",1404.44445800781
"384","FDV43","OUT019",100.467849731445
"385","FDD22","OUT045",1860.58166503906
"386","FDM46","OUT019",356.168365478516
"387","NCO30","OUT010",634.76416015625
"388","FDM25","OUT046",2764.87158203125
"389","NCN41","OUT049",2049.90112304688
"390","FDU24","OUT045",1576.60998535156
"391","FDZ50","OUT046",3125.00561523438
"392","FDP45","OUT013",3735.54638671875
"393","NCM54","OUT045",2049.90112304688
"394","FDW10","OUT019",408.383575439453
"395","FDP20","OUT017",2073.56225585938
"396","FDK32","OUT046",2525.08276367188
"397","FDN52","OUT049",1371.02514648438
"398","FDM58","OUT045",1885.53686523438
"399","FDZ46","OUT027",2898.55004882812
"400","NCA18","OUT018",1621.16650390625
"401","FDD35","OUT046",2209.29028320312
"402","NCK31","OUT035",807.611694335938
"403","FDI40","OUT027",2828.77880859375
"404","FDT50","OUT019",321.831634521484
"405","NCT06","OUT046",2729.25952148438
"406","FDT31","OUT035",3138.05883789062
"407","FDT45","OUT049",907.333435058594
"408","FDT13","OUT045",3114.39770507812
"409","FDO50","OUT045",1355.80407714844
"410","NCU18","OUT010",265.259155273438
"411","NCR54","OUT049",3071.14526367188
"412","NCO18","OUT018",2375.10522460938
"413","FDU09","OUT045",925.6865234375
"414","FDT13","OUT018",2831.42333984375
"415","FDE09","OUT046",1930.10192871094
"416","NCK53","OUT019",313.209167480469
"417","FDG45","OUT049",3538.58081054688
"418","DRH15","OUT035",770.572021484375
"419","FDO21","OUT019",800.60302734375
"420","FDD14","OUT027",5072.44384765625
"421","FDC09","OUT046",1746.11840820312
"422","FDH45","OUT027",1123.31518554688
"423","FDV32","OUT046",1096.35400390625
"424","FDG12","OUT035",1953.76281738281
"425","FDS32","OUT013",1954.41088867188
"426","NCL55","OUT018",3424.26440429688
"427","DRE01","OUT035",3869.4326171875
"428","DRE15","OUT049",1188.38562011719
"429","NCL42","OUT045",3814.5517578125
"430","FDP31","OUT013",949.349853515625
"431","FDN33","OUT018",1425.78588867188
"432","FDZ59","OUT046",2689.7822265625
"433","FDE45","OUT010",357.474945068359
"434","FDJ07","OUT013",1820.26062011719
"435","FDQ45","OUT018",3029.01391601562
"436","FDM33","OUT027",5444.93798828125
"437","FDO15","OUT010",251.555068969727
"438","FDM46","OUT013",1505.43249511719
"439","FDR03","OUT045",3473.7177734375
"440","FDY49","OUT018",2460.63598632812
"441","FDQ60","OUT045",1889.92565917969
"442","FDW10","OUT049",2721.1943359375
"443","FDO51","OUT049",742.318420410156
"444","FDJ40","OUT018",1516.89282226562
"445","FDS20","OUT018",2935.80883789062
"446","FDU45","OUT013",1805.03967285156
"447","FDV02","OUT035",2727.09521484375
"448","FDN09","OUT046",3814.5517578125
"449","NCM55","OUT027",5089.42822265625
"450","FDN23","OUT018",1882.61791992188
"451","FDY31","OUT010",304.942230224609
"452","FDW03","OUT010",297.916381835938
"453","FDD14","OUT046",3160.47412109375
"454","FDV23","OUT017",2062.9580078125
"455","DRI03","OUT045",2805.0478515625
"456","FDN13","OUT035",1610.34338378906
"457","FDF45","OUT027",1559.08020019531
"458","FDU46","OUT035",1404.44445800781
"459","FDB57","OUT049",3648.05249023438
"460","FDV12","OUT049",1596.44079589844
"461","FDQ58","OUT013",2444.8134765625
"462","NCA18","OUT017",1913.58666992188
"463","FDH52","OUT049",999.301879882812
"464","FDM24","OUT018",2270.82446289062
"465","NCP43","OUT027",4775.27490234375
"466","NCO18","OUT019",463.081817626953
"467","FDM32","OUT017",1389.22351074219
"468","NCL07","OUT017",716.169860839844
"469","FDK03","OUT013",3833.3525390625
"470","FDP59","OUT017",1653.77661132812
"471","FDQ24","OUT049",3864.19384765625
"472","FDQ16","OUT018",1649.28564453125
"473","FDU44","OUT013",2404.63720703125
"474","FDH28","OUT010",34.0344505310059
"475","FDV28","OUT019",54.624340057373
"476","FDM22","OUT045",902.740844726562
"477","FDR56","OUT046",3021.5029296875
"478","FDV39","OUT049",3129.61889648438
"479","FDU37","OUT019",309.192047119141
"480","FDQ11","OUT010",583.691650390625
"481","FDX02","OUT045",3572.58520507812
"482","NCS42","OUT018",1371.80786132812
"483","FDY57","OUT027",2660.06079101562
"484","FDB21","OUT049",3717.64208984375
"485","FDE28","OUT017",3741.30297851562
"486","FDQ55","OUT017",1938.54187011719
"487","FDA48","OUT049",3591.48486328125
"488","FDZ19","OUT045",2735.99853515625
"489","NCC43","OUT045",3898.27026367188
"490","NCV18","OUT046",1371.02514648438
"491","NCA42","OUT018",2331.2529296875
"492","FDY45","OUT046",3814.5517578125
"493","NCC30","OUT045",2789.82690429688
"494","FDM57","OUT013",1299.84753417969
"495","FDL09","OUT010",350.806976318359
"496","FDB09","OUT027",3398.51196289062
"497","FDT44","OUT035",1898.36572265625
"498","NCT06","OUT027",4605.61865234375
"499","FDX26","OUT049",3160.47412109375
"500","FDK32","OUT013",2415.24145507812
"501","DRA12","OUT046",2313.83251953125
"502","FDO46","OUT010",584.679016113281
"503","FDE52","OUT013",1309.60595703125
"504","NCH42","OUT045",4002.34521484375
"505","FDV08","OUT035",780.330383300781
"506","FDB47","OUT018",3017.642578125
"507","FDC28","OUT010",341.738555908203
"508","FDD22","OUT046",1889.92565917969
"509","FDS07","OUT027",2955.97973632812
"510","DRI13","OUT045",3473.7177734375
"511","FDG32","OUT018",3567.09545898438
"512","FDU14","OUT017",3797.87084960938
"513","FDD28","OUT019",153.912322998047
"514","NCP41","OUT017",1839.55053710938
"515","FDS08","OUT049",2764.87158203125
"516","FDX47","OUT045",2554.65478515625
"517","FDC53","OUT019",384.039398193359
"518","FDQ19","OUT035",4026.00610351562
"519","FDL14","OUT045",2554.65478515625
"520","FDM33","OUT019",644.029357910156
"521","FDA51","OUT045",1889.92565917969
"522","FDZ27","OUT018",564.933227539062
"523","FDT04","OUT046",746.911010742188
"524","DRC13","OUT049",2079.47314453125
"525","FDR16","OUT027",5444.93798828125
"526","FDQ03","OUT027",5824.06640625
"527","FDE38","OUT035",2768.14135742188
"528","DRH23","OUT027",1540.01171875
"529","FDT11","OUT019",664.460632324219
"530","FDD09","OUT035",2828.70874023438
"531","FDR40","OUT045",1380.78344726562
"532","FDX07","OUT017",3238.83325195312
"533","FDR07","OUT035",1603.44543457031
"534","FDA51","OUT017",1913.58666992188
"535","FDT59","OUT019",742.016052246094
"536","FDF20","OUT017",3153.27978515625
"537","FDR13","OUT045",1930.10192871094
"538","FDY26","OUT049",3523.35986328125
"539","FDW04","OUT017",2062.9580078125
"540","FDK52","OUT017",3679.49365234375
"541","FDN60","OUT049",2470.38452148438
"542","FDM09","OUT019",408.383575439453
"543","FDP46","OUT049",1355.80407714844
"544","FDB50","OUT019",309.192047119141
"545","NCQ29","OUT049",3918.49584960938
"546","FDP16","OUT027",5852.939453125
"547","FDX33","OUT018",2270.82446289062
"548","FDP07","OUT010",623.673706054688
"549","FDN22","OUT046",3657.97827148438
"550","FDF39","OUT049",4195.21240234375
"551","FDS21","OUT017",1022.96282958984
"552","NCM42","OUT013",1690.16186523438
"553","FDK50","OUT019",485.286865234375
"554","DRF13","OUT027",3374.52416992188
"555","FDH35","OUT018",2456.6767578125
"556","FDP60","OUT018",1356.5869140625
"557","DRJ49","OUT027",3318.81762695312
"558","NCT42","OUT019",439.422119140625
"559","FDE38","OUT049",2744.48046875
"560","FDI04","OUT049",3325.822265625
"561","NCH54","OUT045",2485.60546875
"562","FDT56","OUT049",952.876953125
"563","DRD15","OUT018",3424.26440429688
"564","FDV58","OUT013",2482.58935546875
"565","FDP21","OUT049",3179.26098632812
"566","FDH05","OUT013",3578.97265625
"567","FDR10","OUT027",4093.85668945312
"568","NCP06","OUT045",2298.61157226562
"569","FDF33","OUT049",1761.33935546875
"570","DRK37","OUT013",3019.77758789062
"571","DRH49","OUT045",1365.5625
"572","FDT58","OUT013",2579.94091796875
"573","FDD41","OUT018",1545.04565429688
"574","FDP40","OUT018",1716.01953125
"575","FDM51","OUT027",2843.1298828125
"576","FDO45","OUT010",291.588806152344
"577","FDW33","OUT010",272.091156005859
"578","FDY24","OUT045",961.197692871094
"579","FDB10","OUT010",636.245422363281
"580","FDM40","OUT035",2282.79516601562
"581","NCI06","OUT017",3021.79370117188
"582","FDW12","OUT019",413.596893310547
"583","FDX48","OUT027",4093.85668945312
"584","NCW05","OUT027",2828.77880859375
"585","FDX27","OUT017",1585.05004882812
"586","DRM37","OUT045",2918.74536132812
"587","FDA38","OUT045",3796.90161132812
"588","FDR36","OUT046",703.278564453125
"589","FDZ45","OUT046",3305.05322265625
"590","FDG05","OUT017",2509.2666015625
"591","FDK28","OUT013",4181.68701171875
"592","FDV47","OUT045",1355.80407714844
"593","FDN21","OUT045",2470.38452148438
"594","FDP20","OUT027",3398.51196289062
"595","FDI35","OUT045",3511.79736328125
"596","DRY23","OUT013",675.733459472656
"597","FDA56","OUT017",2103.13403320312
"598","FDB09","OUT013",1914.23474121094
"599","NCO26","OUT027",2955.97973632812
"600","FDQ49","OUT018",2334.16625976562
"601","FDI52","OUT027",3398.51196289062
"602","FDZ44","OUT027",2955.97973632812
"603","FDZ09","OUT018",2459.78002929688
"604","FDY03","OUT049",1874.70471191406
"605","NCG42","OUT017",2073.56225585938
"606","DRI13","OUT027",5481.64111328125
"607","FDQ32","OUT013",1940.05993652344
"608","FDW16","OUT035",1374.87255859375
"609","FDU27","OUT046",774.192321777344
"610","FDR28","OUT010",405.505218505859
"611","FDQ49","OUT010",353.582977294922
"612","FDS37","OUT046",1930.10192871094
"613","FDW26","OUT018",3244.0712890625
"614","FDX12","OUT018",3188.900390625
"615","NCP06","OUT013",2415.24145507812
"616","FDW45","OUT010",333.815246582031
"617","NCN30","OUT049",1571.1474609375
"618","FDN24","OUT049",907.333435058594
"619","NCL41","OUT027",1059.15466308594
"620","FDR02","OUT019",339.034393310547
"621","FDD09","OUT010",497.362640380859
"622","FDS33","OUT010",301.347198486328
"623","FDU22","OUT045",1889.92565917969
"624","FDI53","OUT013",2579.94091796875
"625","DRH01","OUT049",2720.77758789062
"626","FDX32","OUT013",2134.07202148438
"627","NCP30","OUT018",586.077514648438
"628","FDB60","OUT045",3129.61889648438
"629","FDB14","OUT049",1561.38903808594
"630","NCP02","OUT035",944.7548828125
"631","FDJ10","OUT017",2062.9580078125
"632","FDG34","OUT046",1900.75793457031
"633","NCB18","OUT017",1374.87255859375
"634","FDM16","OUT049",1162.10827636719
"635","FDW25","OUT018",1221.33862304688
"636","FDB35","OUT010",296.171752929688
"637","DRN11","OUT013",2149.29296875
"638","FDF41","OUT019",548.01806640625
"639","FDH16","OUT045",1371.02514648438
"640","NCQ50","OUT018",3086.75390625
"641","DRH23","OUT018",774.862365722656
"642","DRJ37","OUT013",2404.63720703125
"643","DRJ24","OUT027",5110.6826171875
"644","FDY16","OUT035",3184.13500976562
"645","FDQ27","OUT045",1746.98840332031
"646","FDZ33","OUT045",2259.13427734375
"647","FDF29","OUT045",2064.25219726562
"648","FDA08","OUT049",2744.48046875
"649","FDG31","OUT046",1106.11242675781
"650","FDE34","OUT019",1096.27197265625
"651","NCR30","OUT027",1760.73840332031
"652","FDV33","OUT035",4093.00439453125
"653","DRZ24","OUT018",1796.49865722656
"654","NCL54","OUT035",2759.65966796875
"655","FDR12","OUT049",2805.0478515625
"656","NCC54","OUT046",3657.97827148438
"657","DRN59","OUT013",712.773132324219
"658","FDX50","OUT019",382.856567382812
"659","FDV31","OUT027",4562.025390625
"660","NCA29","OUT027",4605.24951171875
"661","FDW60","OUT049",2805.0478515625
"662","FDX08","OUT017",3254.05419921875
"663","DRD49","OUT013",3678.978515625
"664","FDD33","OUT046",3845.771484375
"665","FDW35","OUT013",685.491821289062
"666","FDJ36","OUT017",1729.60314941406
"667","FDV51","OUT035",2767.271484375
"668","FDW36","OUT046",1721.16320800781
"669","FDH35","OUT046",2833.25146484375
"670","NCS30","OUT027",3398.51196289062
